1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0
1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0,0
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0,0
1.51755,13,3.6,1.36,72.99,0.57,8.4,0,0.11
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0,0.32
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0
1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0
1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0
1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0
1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0,0
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0
1.51994,13.27,0,1.76,73.03,0.47,11.32,0,0
1.52369,13.44,0,1.58,72.22,0.32,12.24,0,0
1.51888,14.99,0.78,1.74,72.5,0,9.95,0,0
1.51916,14.15,0,2.09,72.74,0,10.88,0,0
1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01
1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0
1.51531,14.38,0,2.66,73.1,0.04,9.08,0.64,0
1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0
